,id,default_payment,loan_type,gender,owns_car,owns_house,children,income,amount_credit,amount_annuity,good_price,income_type,education,family_status,house_type,population,birth_in_days,days_employed,owns_mobile,working_mobile,occupation,family_members,org_type,default30,days_last_phone_change,cbr_week,cbr_month,cbr_quarter_,cba_year
10781,112553,0,Cash loans,F,Y,Y,0,193500.0,445500.0,21667.5,445500.0,Working,Higher education,Married,House / apartment,0.028663,-10148,-2715,1,1,Secretaries,2.0,Self-employed,0.0,-1764.0,0.0,0.0,0.0,0.0
14358,116749,0,Revolving loans,M,N,Y,0,157500.0,270000.0,13500.0,270000.0,Commercial associate,Higher education,Civil marriage,House / apartment,0.032561,-9654,-639,1,1,Core staff,2.0,Restaurant,1.0,0.0,0.0,0.0,0.0,0.0
29644,134419,0,Cash loans,F,N,Y,1,112500.0,451647.0,35082.0,418500.0,Working,Secondary / secondary special,Married,With parents,0.00823,-11783,-638,1,1,Accountants,3.0,Transport: type 4,0.0,0.0,0.0,0.0,1.0,0.0
16729,119511,0,Cash loans,M,Y,Y,2,135000.0,562491.0,27058.5,454500.0,Working,Secondary / secondary special,Married,House / apartment,0.0105,-10447,-752,1,1,Laborers,4.0,Industry: type 2,0.0,-585.0,0.0,0.0,1.0,1.0
8299,109675,0,Cash loans,M,Y,N,0,56979.0,95940.0,9486.0,90000.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,0.018801,-24107,365243,1,1,Unknown,1.0,XNA,0.0,0.0,0.0,0.0,0.0,0.0
36351,142095,0,Cash loans,F,N,N,1,135000.0,640080.0,31261.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,0.018801,-11989,-528,1,1,Unknown,3.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,2.0
34168,139596,0,Cash loans,M,N,Y,0,90000.0,675000.0,21906.0,675000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.01452,-14285,-331,1,1,Laborers,1.0,Emergency,0.0,-575.0,0.0,0.0,1.0,1.0
22134,125775,0,Cash loans,F,N,N,1,180000.0,127350.0,12532.5,112500.0,Commercial associate,Higher education,Single / not married,House / apartment,0.014464,-15047,-6881,1,1,Accountants,2.0,Business Entity Type 3,0.0,-1826.0,1.0,0.0,0.0,0.0
9949,111579,0,Cash loans,M,Y,Y,0,135000.0,284400.0,22599.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-10534,-1424,1,1,Laborers,1.0,Government,1.0,-1011.0,0.0,0.0,0.0,2.0
2459,102870,0,Cash loans,F,N,Y,0,157500.0,582228.0,18778.5,486000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-18435,-1546,1,1,Sales staff,2.0,Self-employed,0.0,-179.0,0.0,0.0,0.0,3.0
34141,139561,0,Cash loans,M,Y,Y,0,184500.0,397017.0,24120.0,301500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.008068,-8464,-512,1,1,Sales staff,1.0,Business Entity Type 3,0.0,-510.0,0.0,0.0,0.0,1.0
37022,142885,1,Cash loans,M,Y,Y,0,135000.0,227520.0,18103.5,180000.0,Working,Secondary / secondary special,Married,House / apartment,0.010556,-8808,-529,1,1,Sales staff,2.0,Trade: type 3,0.0,-357.0,1.0,0.0,0.0,0.0
15020,117540,0,Cash loans,F,N,Y,2,99000.0,327024.0,16033.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.01885,-13987,-591,1,1,Unknown,4.0,Medicine,0.0,-292.0,0.0,0.0,0.0,0.0
11691,113628,0,Cash loans,M,N,N,0,135000.0,450000.0,44509.5,450000.0,Working,Secondary / secondary special,Married,With parents,0.028663,-10251,-936,1,1,Laborers,2.0,Business Entity Type 1,2.0,-1782.0,0.0,1.0,0.0,4.0
4354,105093,0,Cash loans,M,Y,Y,0,135000.0,675000.0,21775.5,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.018029,-18037,-10005,1,1,Unknown,2.0,Government,0.0,-1281.0,0.0,1.0,0.0,1.0
16039,118712,0,Revolving loans,F,N,Y,2,135000.0,157500.0,7875.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0.035792,-12837,-2015,1,1,Unknown,4.0,Other,0.0,-676.0,0.0,0.0,0.0,3.0
36909,142751,0,Cash loans,F,Y,Y,2,270000.0,807984.0,26833.5,697500.0,Working,Secondary / secondary special,Separated,House / apartment,0.0105,-13590,-1203,1,1,Drivers,3.0,Transport: type 4,0.0,-1858.0,0.0,0.0,0.0,1.0
46973,154409,0,Cash loans,F,N,Y,1,112500.0,675000.0,21906.0,675000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.015221,-15442,-1088,1,1,Core staff,2.0,Business Entity Type 3,0.0,-2350.0,0.0,0.0,0.0,0.0
47866,155436,0,Cash loans,M,Y,N,1,135000.0,900000.0,23872.5,900000.0,Working,Higher education,Married,House / apartment,0.026392,-10804,-495,1,1,Unknown,3.0,Industry: type 9,0.0,-57.0,0.0,2.0,2.0,0.0
6996,108147,1,Cash loans,M,Y,N,1,157500.0,202500.0,9567.0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.018209,-16384,-1338,1,1,Unknown,2.0,Business Entity Type 3,0.0,-1506.0,0.0,0.0,0.0,9.0
4917,105755,0,Cash loans,M,Y,N,0,126000.0,536917.5,27544.5,463500.0,Working,Secondary / secondary special,Married,House / apartment,0.009549,-13515,-2444,1,1,Laborers,2.0,Self-employed,0.0,0.0,0.0,0.0,0.0,2.0
17429,120328,0,Cash loans,M,N,N,1,256500.0,521280.0,37201.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,0.003818,-14399,-6893,1,1,Laborers,3.0,Business Entity Type 3,0.0,-1280.0,0.0,0.0,0.0,4.0
46616,153999,0,Cash loans,F,Y,Y,0,225000.0,835380.0,35523.0,675000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006629,-17974,-3392,1,1,Managers,2.0,Self-employed,0.0,-384.0,0.0,0.0,0.0,3.0
34964,140513,0,Cash loans,M,N,Y,2,225000.0,450000.0,23562.0,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.032561,-12220,-490,1,1,Laborers,3.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0
11522,113427,0,Cash loans,F,N,Y,0,157500.0,900000.0,26446.5,900000.0,Working,Higher education,Civil marriage,House / apartment,0.02461,-14534,-5451,1,1,Unknown,2.0,Business Entity Type 2,1.0,-116.0,0.0,1.0,0.0,3.0
47608,155150,0,Cash loans,F,N,Y,0,85500.0,526491.0,19039.5,454500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0.022625,-18129,365243,1,1,Unknown,1.0,XNA,1.0,0.0,0.0,0.0,0.0,0.0
