date,open,high,low,close,volume
19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214
20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257
21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345
22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871
23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119
26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325
27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605
28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019
30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587
3-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219
4-Jul-23,19406.6,19434.15,19300,19389,226916635
5-Jul-23,19405.95,19421.6,19339.6,19398.5,224418797
6-Jul-23,19385.7,19512.2,19373,19497.3,268261285
7-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566
10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132
11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638
12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559
13-Jul-23,19495.2,19567,19385.8,19413.75,310442517
14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841
17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894
18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897
19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464
20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867
21-Jul-23,19800.45,19887.4,19700,19745,312461795
24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151
25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496
26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425
27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351
28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382
31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318
1-Aug-23,19784,19795.6,19704.6,19733.55,298048161
2-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798
3-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612
4-Aug-23,19462.8,19538.85,19436.45,19517,280799561
7-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074
8-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052
9-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074
10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785
11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048
14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815
16-Aug-23,19369,19482.75,19317.2,19465,226627230
17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456
18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364
21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133
22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354
23-Aug-23,19439.2,19472.05,19366.6,19444,225214991
24-Aug-23,19535.15,19584.45,19369,19386.7,268256859
25-Aug-23,19297.4,19339.55,19229.7,19265.8,466518217
28-Aug-23,19298.35,19366.85,19249.7,19306.05,248178769
29-Aug-23,19374.85,19377.9,19309.1,19342.65,307388116
30-Aug-23,19433.45,19452.8,19334.75,19347.45,233004568
31-Aug-23,19375.55,19388.2,19223.65,19253.8,562557215
1-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191
4-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122
5-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622
6-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083
7-Sep-23,19598.65,19737,19550.05,19727.05,304929822
8-Sep-23,19774.8,19867.15,19728.05,19819.95,288093693
11-Sep-23,19890,20008.15,19865.35,19996.35,248763130
12-Sep-23,20110.15,20110.35,19914.65,19993.2,328064239
13-Sep-23,19989.5,20096.9,19944.1,20070,251394599
14-Sep-23,20127.95,20167.65,20043.45,20103.1,275111881
15-Sep-23,20156.45,20222.45,20129.7,20192.35,438185104
18-Sep-23,20155.95,20195.35,20115.7,20133.3,264870758
20-Sep-23,19980.75,20050.65,19878.85,19901.4,378065882
21-Sep-23,19840.55,19848.75,19709.95,19742.35,275132260
22-Sep-23,19744.85,19798.65,19657.5,19674.25,246410075
25-Sep-23,19678.2,19734.15,19601.55,19674.55,188398392
26-Sep-23,19682.8,19699.35,19637.45,19664.7,204869058
27-Sep-23,19637.05,19730.7,19554,19716.45,203559874
28-Sep-23,19761.8,19766.65,19492.1,19523.55,352810261
29-Sep-23,19581.2,19726.25,19551.05,19638.3,243508919
3-Oct-23,19622.4,19623.2,19479.65,19528.75,221719625
4-Oct-23,19446.3,19457.8,19333.6,19436.1,277148310
5-Oct-23,19521.85,19576.95,19487.3,19545.75,234865323
6-Oct-23,19621.2,19675.75,19589.4,19653.5,159051277
9-Oct-23,19539.45,19588.95,19480.5,19512.35,165094800
10-Oct-23,19565.6,19717.8,19565.45,19689.85,216559447
11-Oct-23,19767,19839.2,19756.95,19811.35,213729730
12-Oct-23,19822.7,19843.3,19772.65,19794,217904144
13-Oct-23,19654.55,19805.4,19635.3,19751.05,254955979
16-Oct-23,19737.25,19781.3,19691.85,19731.75,180964341
17-Oct-23,19843.2,19849.75,19775.65,19811.5,185846716
18-Oct-23,19820.45,19840.95,19659.95,19671.1,198942937
19-Oct-23,19545.2,19681.8,19512.35,19624.7,230312163
20-Oct-23,19542.15,19593.8,19518.7,19542.65,198341255
23-Oct-23,19521.6,19556.85,19257.85,19281.75,176044288
25-Oct-23,19286.45,19347.3,19074.15,19122.15,225291741
26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469
27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044
30-Oct-23,19053.4,19158.5,18940,19140.9,180132492
31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341
1-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279
2-Nov-23,19120,19175.25,19064.15,19133.25,245595109
3-Nov-23,19241,19276.25,19210.9,19230.6,189516123
6-Nov-23,19345.85,19423,19309.7,19411.75,180690631
7-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124
8-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997
9-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349
1-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566
4-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418
5-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350
6-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958
7-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308
8-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748
27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963
28-Dec-23,21715,21801.45,21678,21778.7,393080755
29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276
1-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217
2-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568
3-Jan-24,21661.1,21677,21500.35,21517.35,311933117
4-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697
5-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266
8-Jan-24,21747.6,21763.95,21492.9,21513,231452935
9-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589
10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926
11-Jan-24,21688,21726.5,21593.75,21647.2,212453866
12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459
15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523
16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764
17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867
18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268
19-Jan-24,21615.2,21670.6,21575,21622.4,343055124
20-Jan-24,21706.15,21720.3,21541.8,21571.8,162073740
23-Jan-24,21716.7,21750.25,21192.6,21238.8,449718534
24-Jan-24,21185.25,21482.35,21137.2,21453.95,407460664
25-Jan-24,21454.6,21459,21247.05,21352.6,418143077
29-Jan-24,21433.1,21763.25,21429.6,21737.6,376702289
30-Jan-24,21775.75,21813.05,21501.8,21522.1,375137333
31-Jan-24,21487.25,21741.35,21448.85,21725.7,410583065
1-Feb-24,21780.65,21832.95,21658.75,21697.45,332541208
2-Feb-24,21812.75,22126.8,21805.55,21853.8,442794738
5-Feb-24,21921.05,21964.3,21726.95,21771.7,440849699
6-Feb-24,21825.2,21951.4,21737.55,21929.4,370968111
7-Feb-24,22045.05,22053.3,21860.15,21930.5,346263704
8-Feb-24,22009.65,22011.05,21665.3,21717.95,491069786
9-Feb-24,21727,21804.45,21629.9,21782.5,349222850
12-Feb-24,21800.8,21831.7,21574.75,21616.05,287436165
13-Feb-24,21664.3,21766.8,21543.35,21743.25,365785766
14-Feb-24,21578.15,21870.85,21530.2,21840.05,359120861
15-Feb-24,21906.55,21953.85,21794.8,21910.75,345394395
16-Feb-24,22020.3,22068.65,21968.95,22040.7,343892935
19-Feb-24,22103.45,22186.65,22021.05,22122.25,218252325
20-Feb-24,22099.2,22215.6,22045.85,22196.95,295705319
21-Feb-24,22248.85,22249.4,21997.95,22055.05,364545679
22-Feb-24,22081.55,22252.5,21875.25,22217.45,343495136
23-Feb-24,22290,22297.5,22186.1,22212.7,225983194
26-Feb-24,22169.2,22202.15,22075.15,22122.05,207775504
27-Feb-24,22090.2,22218.25,22085.65,22198.35,252199186
28-Feb-24,22214.1,22229.15,21915.85,21951.15,202952371
29-Feb-24,21935.2,22060.55,21860.65,21982.8,360165824
1-Mar-24,22048.3,22353.3,22047.75,22338.75,351503075
2-Mar-24,22406.95,22419.55,22367.05,22378.4,35763814
4-Mar-24,22403.5,22440.9,22358.3,22405.6,298794435
5-Mar-24,22371.25,22416.9,22269.15,22356.3,296153036
6-Mar-24,22327.5,22497.2,22224.35,22474.05,312262560
7-Mar-24,22505.3,22525.65,22430,22493.55,379865142
11-Mar-24,22517.5,22526.6,22307.25,22332.65,277897373
12-Mar-24,22334.45,22452.55,22256,22335.7,299201167
13-Mar-24,22432.2,22446.75,21905.65,21997.7,493341697
14-Mar-24,21982.55,22204.6,21917.5,22146.65,426742460
15-Mar-24,22064.85,22120.9,21931.7,22023.35,661460455
18-Mar-24,21990.1,22123.7,21916.55,22055.7,356321519
19-Mar-24,21946.45,21978.3,21793.1,21817.45,344157465
20-Mar-24,21843.9,21930.9,21710.2,21839.1,312414696
21-Mar-24,21989.9,22080.95,21941.3,22011.95,353172434
22-Mar-24,21932.2,22180.7,21883.3,22096.75,388656439
26-Mar-24,21947.9,22073.2,21947.55,22004.7,328403719
27-Mar-24,22053.95,22193.6,22052.85,22123.65,409136866
28-Mar-24,22163.6,22516,22163.6,22326.9,407422815
1-Apr-24,22455,22529.95,22427.75,22462,243637071
2-Apr-24,22458.8,22497.6,22388.15,22453.3,289524237
3-Apr-24,22385.7,22521.1,22346.5,22434.65,309647491
4-Apr-24,22592.1,22619,22303.8,22514.65,400986156
5-Apr-24,22486.4,22537.6,22427.6,22513.7,242244731
8-Apr-24,22578.35,22697.3,22550.35,22666.3,227633561
9-Apr-24,22765.1,22768.4,22612.25,22642.75,232356772
10-Apr-24,22720.25,22775.7,22673.7,22753.8,276847931
12-Apr-24,22677.4,22726.45,22503.75,22519.4,357187778
15-Apr-24,22339.05,22427.45,22259.55,22272.5,355465814
16-Apr-24,22125.3,22213.75,22079.45,22147.9,317267066
18-Apr-24,22212.35,22326.5,21961.7,21995.85,456906707
19-Apr-24,21861.5,22179.55,21777.65,22147,362530569
22-Apr-24,22336.9,22375.65,22198.15,22336.4,279259571
23-Apr-24,22447.05,22447.55,22349.45,22368,231520813
24-Apr-24,22421.55,22476.45,22384,22402.4,235898642
25-Apr-24,22316.9,22625.95,22305.25,22570.35,475044740
