CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,390,"1,638.20","1,739.45",390,"23,400.00","37,960",1.80,1.85,195,0.25,1.80,27.36,"2,52,172","10,985","48,069",
,-,-,-,-,-,-,390,"1,581.05","1,691.40",390,"23,450.00","2,470",1.70,1.80,"3,380",0.05,1.70,26.43,"60,276",681,"4,592",
,125,82,93,34.34,"1,586.65",-298.35,130,"1,587.05","1,598.15",130,"23,500.00",130,1.70,1.80,"3,055",0.05,1.75,25.78,"4,55,560","11,595","1,12,749",
,13,-4,4,37.88,"1,547.70",-147.95,390,"1,486.20","1,589.80",65,"23,550.00","2,340",1.85,1.95,"2,535",0.05,1.85,25.20,"67,525","-1,848","4,223",
,-,-,-,-,-,-,390,"1,429.85","1,536.00",390,"23,600.00","1,560",1.80,2.05,910,-0.05,1.85,24.45,"1,61,477","4,575","19,609",
,-,-,-,-,-,-,"1,755","1,215.20","1,730.40","1,755","23,650.00","3,640",2.05,2.45,845,0.20,2.15,24.15,"67,816","-1,379","4,071",
,7,3,5,33.40,"1,393.75",-112.25,130,"1,386.10","1,399.75",65,"23,700.00",845,2.05,2.15,"1,430",0.15,2.15,23.39,"1,52,839","8,865","25,669",
,524,-159,272,31.73,"1,341.95",-270.20,130,"1,336.25","1,349.35",65,"23,750.00","2,145",2.20,2.30,"1,170",0.05,2.25,22.76,"1,47,767","-5,091","27,768",
,247,-93,181,29.06,"1,287.75",-240.50,130,"1,286.30","1,296.00",65,"23,800.00",390,2.25,2.30,"1,300",0.10,2.25,21.99,"3,02,844","10,491","50,801",
,10,-5,6,32.81,"1,251.70",-318.30,390,"1,182.95","1,290.50",65,"23,850.00","2,600",2.10,2.35,845,-0.10,2.25,21.22,"1,06,535","1,247","6,660",
,145,3,17,-,"1,170.00",-172.30,130,"1,139.95","1,239.45",65,"23,900.00","2,535",2.25,2.35,"1,105",-0.15,2.25,20.44,"2,86,167","10,798","24,505",
,21,-1,16,-,"1,120.00",-268.00,130,"1,090.20","1,189.85",65,"23,950.00","1,755",2.30,2.50,845,-,2.55,20.01,"1,61,954","4,310","10,201",
,"8,804","-3,532","7,757",24.69,"1,086.60",-258.65,130,"1,087.85","1,094.75",195,"24,000.00","2,990",2.45,2.60,780,-0.05,2.60,19.27,"10,70,781","9,877","1,51,669",
,6,2,24,34.95,"1,081.65",-230.75,"1,040",983.00,"1,089.55",65,"24,050.00",780,2.65,2.80,780,0.15,2.85,18.72,"1,72,366","2,208","8,311",
,51,-9,87,22.74,986.60,-213.40,65,933.75,"1,034.80",65,"24,100.00",390,2.75,2.85,780,-,2.85,17.92,"4,76,962","2,952","22,267",
,2,-,-,-,"1,233.65",-,"1,300",883.75,986.65,390,"24,150.00",130,3.00,3.10,260,0.05,3.05,17.29,"2,40,850","1,688","9,001",
,42,-8,148,21.95,890.00,-225.95,65,887.50,901.25,65,"24,200.00",260,3.00,3.20,"1,040",0.15,3.20,16.60,"7,18,197","-4,133","48,645",
,41,-,18,21.14,840.70,-300.30,"1,105",783.60,890.05,65,"24,250.00",910,3.45,3.55,455,0.25,3.55,16.03,"3,57,564",-291,"17,303",
,77,-15,199,19.43,788.50,-253.05,130,736.40,842.55,65,"24,300.00","1,040",3.65,3.75,780,0.15,3.65,15.27,"7,61,893","-4,559","41,865",
