CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"1,758.85","1,931.45",780,"23,400.00","45,630",2.20,2.25,"9,490",-41.10,2.20,26.69,"2,91,379",-,"34,487",
,-,-,-,-,-,-,780,"1,658.60","1,855.80",780,"23,450.00","3,380",2.30,2.35,"11,505",-44.05,2.30,26.16,"57,876",-,"3,525",
,32,1,3,70.97,"1,710.50",30.55,195,"1,756.10","1,781.25",65,"23,500.00","1,18,820",2.35,2.40,"1,13,360",-2.95,2.35,25.54,"6,65,058","13,495","1,14,317",
,17,-,-,39.02,-,-,780,"1,639.45","1,755.60",780,"23,550.00","45,305",2.40,2.45,"33,280",-3.15,2.40,24.99,"97,701","3,067","6,770",
,-,-,-,-,-,-,780,"1,597.15","1,702.25",780,"23,600.00","71,305",2.50,2.55,"39,325",-3.20,2.55,24.43,"1,86,884","1,606","16,279",
,-,-,-,-,-,-,780,"1,419.55","1,659.10",780,"23,650.00","31,460",2.65,2.70,"32,565",-3.40,2.65,23.98,"77,452","2,269","4,901",
,3,-,1,24.16,"1,506.00",36.00,780,"1,533.55","1,564.15",65,"23,700.00","30,810",2.70,2.75,"62,205",-3.55,2.75,23.34,"1,74,536","2,411","20,703",
,683,-15,75,27.29,"1,481.90",50.55,65,"1,507.90","1,516.55",65,"23,750.00","56,095",2.85,2.90,"33,085",-3.90,2.85,22.80,"1,50,950","-1,203","35,066",
,352,-41,124,31.44,"1,455.45",85.45,65,"1,459.45","1,465.10",65,"23,800.00","1,05,820",2.80,2.85,"95,485",-4.10,2.80,22.15,"2,91,495",-65,"37,968",
,14,-,3,35.17,"1,394.55",-21.00,65,"1,388.95","1,424.40",65,"23,850.00","2,015",3.05,3.10,"9,490",-4.30,3.10,21.69,"87,253",900,"4,722",
