,tripid,shipperid,categoryid,customer,shipdate,origincity,originstate,shipdays,destinationcity,destinationstate,deliverydate,totalmiles,loadedmiles,shippingcost,revenue,capacity,triptype,checkpoints,newshipdate,newdeliverydate,month,day,profit,datediff,revenue running totel,cost running totel
970,10971,2,3,Condintex,01-01-2016,Springfield,IL,2,Skokie,IL,03-01-2016,710,710,1122,1831,78,Domestic,1,2016-01-01,2016-01-03,1,1,709,2 days,1831,1122
952,10953,3,3,Plusla,01-01-2016,Chicago,IL,5,Rockford,IL,05-01-2016,780,275,5832,6808,82,International,4,2016-01-01,2016-01-05,1,1,976,4 days,8639,6954
520,10521,2,6,hat-core,01-01-2016,Madison,WI,1,Kalamazoo,MI,02-01-2016,983,231,1239,1720,73,Domestic,3,2016-01-01,2016-01-02,1,1,481,1 days,10359,8193
345,10346,2,6,Zoodrill,01-01-2016,Naperville,IL,1,Indianapolis,IN,02-01-2016,224,224,8501,8941,65,Domestic,10,2016-01-01,2016-01-02,1,1,440,1 days,19300,16694
1170,11171,2,4,Gogokeying,01-01-2016,Indianapolis,IN,2,Northbrook,IL,02-01-2016,1119,788,2508,201,72,Domestic,8,2016-01-01,2016-01-02,1,1,-2307,1 days,19501,19202
1703,11704,2,3,Unatrax,01-01-2016,Cincinnati,OH,1,Gary,IN,02-01-2016,365,365,4465,4971,72,Domestic,7,2016-01-01,2016-01-02,1,1,506,1 days,24472,23667
635,10636,1,7,xx-bam,01-01-2016,Cincinnati,OH,7,Gary,IN,08-01-2016,402,402,677,911,98,International,8,2016-01-01,2016-01-08,1,1,234,7 days,25383,24344
1120,11121,2,1,Icedox,01-01-2016,Grand Rapids,MI,3,Toledo,OH,02-01-2016,357,238,2276,7388,60,Domestic,10,2016-01-01,2016-01-02,1,1,5112,1 days,32771,26620
844,10845,2,3,Joyzim,01-01-2016,Detriot,MI,1,Monon,IN,02-01-2016,392,273,2981,3487,95,Domestic,8,2016-01-01,2016-01-02,1,1,506,1 days,36258,29601
482,10483,2,7,Gravemedia,02-01-2016,Cincinnati,OH,3,Gary,IN,05-01-2016,724,314,2176,2933,59,Domestic,6,2016-01-02,2016-01-05,1,2,757,3 days,39191,31777
