TripID,ShipperID,CategoryID,Customer,ShipDate,OriginCity,OriginState,ShipDays,DestinationCity,DestinationState,TotalMiles,LoadedMiles,ShippingCost,Revenue,Capacity,TripType,CheckPoints
10001,1,5,Reddoit,2016-07-08,Grand Rapids,MI,3,Toledo,OH,955,687,2232,2910,99,Domestic,9
10002,2,7,Plustax,2016-05-21,Milwaukee,WI,2,Springfield,IL,317,317,646,1199,62,Domestic,8
10003,1,4,Quotelane,2016-08-25,Chicago,IL,4,Rockford,IL,536,536,7276,5778,61,Domestic,10
10004,1,5,Viatom,2016-05-20,Indianapolis,IN,1,Northbrook,IL,450,362,6807,7571,77,Domestic,4
10005,1,4,Silverfase,2016-04-25,Northbrook,IL,3,Naperville,IL,514,205,7647,5456,60,Domestic,2
10006,1,4,O-Job,2016-04-03,Detriot,MI,4,Monon,IN,332,332,4687,3084,68,Domestic,4
10007,2,4,Howtaxon,2016-05-14,Gary,IN,4,Milwaukee,WI,1041,328,7603,5516,97,Domestic,4
10008,1,6,Xx-Way,2016-07-24,Joliet,IL,3,Madison,WI,286,286,3968,4654,88,Domestic,4
10009,2,6,San-Plex,2016-04-08,Monon,IN,10,Lansing,MI,804,663,3746,4107,90,International,4
10010,1,7,Dentocity,2016-01-10,Madison,WI,5,Kalamazoo,MI,732,248,3718,3916,63,International,10
10011,2,7,Indi-Dox,2016-03-02,Green Bay,WI,6,Joliet,IL,470,284,3389,3978,55,International,2
10012,2,8,Subdrill,2016-03-17,Rockford,IL,10,Green Bay,WI,1175,361,763,1477,50,International,10
10013,2,6,Conzumzap,2016-05-19,Appleton,WI,1,Grand Rapids,MI,486,451,4896,5272,69,Intercom,4
10014,2,6,Ontotam,2016-02-22,Cincinnati,OH,1,Gary,IN,701,701,933,1265,78,Domestic,5
10015,2,7,Trio-Dax,2016-02-01,Dayton,OH,4,Elgin,IL,732,620,3876,4471,65,Domestic,1
10016,1,5,Tampquote,2016-04-19,Lansing,MI,9,Dayton,OH,328,328,37,736,94,International,1
10017,2,8,Recode,2016-08-26,Bangor,MI,6,Davenport,IA,525,460,2321,2656,71,International,4
10018,1,6,Ganjazone,2016-05-24,Elgin,IL,2,Cincinnati,OH,220,220,5772,6491,83,Domestic,9
