,id,default_payment,loan_type,gender,owns_car,owns_house,children,income,amount_credit,amount_annuity,good_price,income_type,education,family_status,house_type,population,birth_in_days,days_employed,owns_mobile,working_mobile,occupation,family_members,org_type,default30,days_last_phone_change,cbr_week,cbr_month,cbr_quarter_,cba_year
151,100178,0,Cash loans,F,N,Y,0,119250.0,679500.0,28917.0,679500.0,Working,Higher education,Separated,House / apartment,0.008866,-19286,-1485,1,1,Unknown,1.0,Self-employed,0.0,-2085.0,0.0,0.0,0.0,0.0
16755,119541,0,Cash loans,F,N,N,0,112500.0,679500.0,22585.5,679500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0.0228,-10942,-1778,1,1,Sales staff,1.0,Transport: type 4,1.0,-716.0,0.0,4.0,0.0,1.0
4392,105133,0,Cash loans,M,N,Y,0,144000.0,900000.0,32328.0,900000.0,Pensioner,Higher education,Married,House / apartment,0.01885,-21081,365243,1,1,Unknown,2.0,XNA,0.0,-1535.0,0.0,1.0,0.0,1.0
36940,142794,1,Cash loans,M,Y,Y,1,112500.0,157500.0,15705.0,157500.0,Working,Lower secondary,Married,House / apartment,0.01452,-16848,-960,1,1,Laborers,3.0,Trade: type 7,0.0,0.0,0.0,0.0,0.0,1.0
45332,152507,0,Cash loans,M,Y,N,1,202500.0,900000.0,48825.0,900000.0,Working,Secondary / secondary special,Married,House / apartment,0.032561,-12493,-1215,1,1,Drivers,3.0,Business Entity Type 3,2.0,-1576.0,0.0,0.0,1.0,2.0
6793,107923,0,Cash loans,F,N,Y,0,180000.0,792477.0,23301.0,661500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,-23195,365243,1,1,Unknown,1.0,XNA,0.0,-699.0,0.0,5.0,0.0,0.0
21835,125440,1,Revolving loans,F,N,Y,1,135000.0,180000.0,9000.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0.009657,-10209,-1163,1,1,Sales staff,3.0,Housing,1.0,-551.0,0.0,0.0,0.0,1.0
40415,146817,0,Cash loans,F,N,Y,0,252000.0,1316155.5,38614.5,1030500.0,Commercial associate,Incomplete higher,Married,House / apartment,0.04622,-8333,-1123,1,1,Core staff,2.0,Restaurant,0.0,-814.0,0.0,0.0,0.0,3.0
43417,150261,1,Cash loans,M,N,Y,1,112500.0,355320.0,38263.5,337500.0,Working,Secondary / secondary special,Married,House / apartment,0.00712,-11065,-442,1,1,Low-skill Laborers,3.0,Self-employed,0.0,-1212.0,0.0,0.0,0.0,0.0
6323,107378,0,Cash loans,M,Y,Y,0,63000.0,269550.0,12001.5,225000.0,Pensioner,Higher education,Married,House / apartment,0.022625,-22087,365243,1,1,Unknown,2.0,XNA,1.0,-1.0,0.0,0.0,0.0,1.0
2451,102858,0,Cash loans,F,Y,Y,0,67500.0,900000.0,26316.0,900000.0,Working,Secondary / secondary special,Married,House / apartment,0.019689,-18003,-4098,1,1,Sales staff,2.0,Self-employed,0.0,-1071.0,0.0,0.0,0.0,0.0
48373,156016,0,Cash loans,M,Y,N,0,585000.0,1800000.0,52632.0,1800000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011657,-15583,-1406,1,1,Drivers,2.0,Business Entity Type 3,0.0,-590.0,0.0,1.0,0.0,1.0
30774,135720,0,Cash loans,F,N,Y,0,90000.0,364896.0,16069.5,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.01885,-20180,365243,1,1,Unknown,1.0,XNA,1.0,-373.0,0.0,0.0,0.0,0.0
26106,130364,0,Revolving loans,F,Y,Y,1,225000.0,135000.0,6750.0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,0.031329,-13487,-141,1,1,Core staff,2.0,Self-employed,0.0,-1688.0,0.0,2.0,0.0,2.0
41123,147617,1,Cash loans,F,N,Y,0,166500.0,590337.0,25141.5,477000.0,Working,Secondary / secondary special,Widow,House / apartment,0.02461,-20978,-2988,1,1,Laborers,1.0,Business Entity Type 1,0.0,-1611.0,0.0,0.0,0.0,2.0
42153,148798,0,Cash loans,M,Y,Y,0,202500.0,473742.0,37557.0,418500.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.020713,-9021,-1308,1,1,Laborers,2.0,Other,0.0,-708.0,0.0,0.0,0.0,0.0
36038,141745,0,Cash loans,M,Y,N,1,112500.0,479637.0,22491.0,396000.0,Working,Secondary / secondary special,Married,House / apartment,0.015221,-15378,-225,1,1,Unknown,3.0,Other,0.0,-2449.0,0.0,0.0,0.0,2.0
17651,120579,0,Cash loans,F,N,Y,0,90000.0,389844.0,20061.0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.010966,-22125,365243,1,1,Unknown,1.0,XNA,0.0,-1670.0,0.0,0.0,0.0,0.0
18098,121110,0,Cash loans,M,N,Y,0,112500.0,675000.0,32602.5,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-16353,-1798,1,1,Security staff,2.0,Other,0.0,-1579.0,0.0,0.0,0.0,4.0
24420,128404,0,Cash loans,F,N,Y,1,180000.0,521280.0,31630.5,450000.0,Commercial associate,Higher education,Married,House / apartment,0.072508,-8208,-453,1,1,Secretaries,3.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0
33374,138665,0,Cash loans,F,N,Y,1,112500.0,119925.0,11988.0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-17859,365243,1,1,Unknown,3.0,XNA,0.0,-178.0,0.0,0.0,0.0,0.0
13227,115420,0,Cash loans,M,N,Y,1,135000.0,215640.0,19908.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0.00733,-15118,-4226,1,1,Drivers,3.0,Government,1.0,-1929.0,0.0,0.0,0.0,2.0
33388,138682,0,Cash loans,M,Y,Y,0,67500.0,243000.0,23800.5,243000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-22926,365243,1,1,Unknown,2.0,XNA,0.0,0.0,0.0,0.0,1.0,1.0
49831,157685,0,Cash loans,F,N,N,0,67500.0,360000.0,17316.0,360000.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-18546,-5553,1,1,Unknown,2.0,Business Entity Type 2,0.0,-566.0,0.0,0.0,0.0,0.0
45612,152829,0,Cash loans,F,Y,N,0,166500.0,521280.0,22959.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228,-19838,-1561,1,1,Unknown,2.0,Other,0.0,-511.0,0.0,0.0,0.0,3.0
36880,142716,1,Cash loans,M,Y,Y,0,121500.0,539100.0,27652.5,450000.0,Commercial associate,Higher education,Married,House / apartment,0.008068,-19952,-2884,1,1,Drivers,2.0,Other,0.0,-681.0,0.0,0.0,0.0,2.0
36858,142692,0,Cash loans,M,N,Y,0,144000.0,254700.0,25321.5,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.00496,-24589,365243,1,1,Unknown,2.0,XNA,0.0,-269.0,0.0,0.0,0.0,2.0
17316,120195,0,Cash loans,M,N,Y,1,225000.0,539230.5,28363.5,409500.0,Working,Higher education,Married,House / apartment,0.006852,-10525,-78,1,1,Managers,3.0,Business Entity Type 3,0.0,-992.0,0.0,0.0,0.0,1.0
15475,118062,0,Cash loans,F,Y,Y,0,225000.0,1006920.0,42790.5,900000.0,Working,Secondary / secondary special,Separated,House / apartment,0.00733,-14885,-2033,1,1,Sales staff,1.0,Self-employed,0.0,-1.0,0.0,0.0,0.0,1.0
49223,156984,0,Cash loans,F,N,Y,0,180000.0,271066.5,11614.5,234000.0,Working,Secondary / secondary special,Married,House / apartment,0.02461,-16402,-4718,1,1,High skill tech staff,2.0,Business Entity Type 3,0.0,-2261.0,0.0,1.0,0.0,0.0
37191,143079,0,Cash loans,F,Y,Y,0,135000.0,450000.0,28890.0,450000.0,Working,Incomplete higher,Married,House / apartment,0.026392,-15697,-2513,1,1,Unknown,2.0,Business Entity Type 3,0.0,-2693.0,0.0,1.0,0.0,4.0
29437,134180,0,Revolving loans,F,N,N,0,90000.0,247500.0,12375.0,247500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.019689,-11512,-1894,1,1,Laborers,1.0,Trade: type 7,0.0,-1704.0,0.0,0.0,0.0,3.0
3257,103800,0,Cash loans,M,N,Y,0,270000.0,1595115.0,50215.5,1377000.0,Commercial associate,Higher education,Married,House / apartment,0.072508,-14474,-2955,1,1,Managers,2.0,Business Entity Type 3,0.0,-2191.0,0.0,8.0,2.0,4.0
35944,141642,0,Revolving loans,F,Y,Y,2,135000.0,247500.0,12375.0,247500.0,Working,Incomplete higher,Married,House / apartment,0.019101,-13670,-4436,1,1,Unknown,4.0,Self-employed,0.0,-2151.0,0.0,0.0,2.0,1.0
35376,140976,0,Cash loans,F,N,Y,0,180000.0,1125000.0,32895.0,1125000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.01452,-15681,-5446,1,1,Accountants,1.0,Business Entity Type 3,0.0,-2586.0,0.0,0.0,1.0,2.0
38321,144378,0,Cash loans,F,N,Y,0,157500.0,545040.0,25537.5,450000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.00823,-17658,-4996,1,1,Laborers,1.0,Advertising,0.0,-880.0,0.0,0.0,0.0,3.0
29371,134108,0,Cash loans,F,N,Y,0,90000.0,521280.0,28408.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,0.008019,-14843,-473,1,1,Laborers,2.0,Industry: type 11,0.0,-457.0,0.0,0.0,0.0,0.0
40276,146658,0,Cash loans,F,N,Y,0,99000.0,436032.0,21339.0,360000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.025164,-18228,-484,1,1,Laborers,1.0,Transport: type 4,0.0,-417.0,0.0,0.0,2.0,8.0
8868,110311,0,Cash loans,F,N,Y,2,225000.0,189000.0,12915.0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019101,-11519,-835,1,1,Sales staff,4.0,Business Entity Type 3,0.0,-392.0,0.0,0.0,0.0,2.0
24433,128419,1,Cash loans,F,N,N,0,67500.0,327024.0,16033.5,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.002134,-10672,-1493,1,1,Medicine staff,2.0,Medicine,1.0,-280.0,0.0,0.0,0.0,0.0
12314,114358,0,Cash loans,M,N,N,0,247500.0,474048.0,17568.0,360000.0,Working,Secondary / secondary special,Married,House / apartment,0.016612,-17974,-1413,1,1,Drivers,2.0,Self-employed,0.0,-528.0,0.0,1.0,0.0,4.0
9820,111430,0,Cash loans,M,Y,N,0,247500.0,900000.0,26446.5,900000.0,State servant,Secondary / secondary special,Married,House / apartment,0.035792,-14156,-4005,1,1,Managers,2.0,Government,0.0,-703.0,0.0,0.0,0.0,1.0
27735,132247,0,Cash loans,F,N,Y,0,292500.0,1516500.0,41832.0,1516500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-21659,365243,1,1,Unknown,2.0,XNA,0.0,-453.0,0.0,0.0,2.0,3.0
46269,153603,0,Cash loans,F,N,Y,1,202500.0,900000.0,47952.0,900000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.032561,-10012,-2248,1,1,Sales staff,3.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0
34751,140268,0,Cash loans,F,Y,N,1,225000.0,521280.0,28408.5,450000.0,Commercial associate,Higher education,Single / not married,With parents,0.014464,-14075,-948,1,1,Managers,2.0,Business Entity Type 3,0.0,-476.0,1.0,0.0,0.0,1.0
6109,107142,0,Revolving loans,F,N,Y,0,90000.0,180000.0,9000.0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.030755,-8754,-152,1,1,Sales staff,1.0,Self-employed,0.0,-184.0,0.0,0.0,0.0,0.0
16663,119436,0,Cash loans,F,N,Y,0,112500.0,239850.0,23494.5,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.035792,-24596,365243,1,1,Unknown,1.0,XNA,0.0,-188.0,0.0,0.0,1.0,0.0
34294,139735,0,Cash loans,F,N,Y,3,247500.0,320382.0,16357.5,229500.0,Commercial associate,Higher education,Married,House / apartment,0.04622,-12800,-4304,1,1,Core staff,5.0,Government,0.0,0.0,0.0,1.0,0.0,6.0
18312,121362,0,Cash loans,F,N,Y,0,180000.0,450000.0,17095.5,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0228,-23599,365243,1,1,Unknown,2.0,XNA,0.0,-299.0,0.0,0.0,0.0,0.0
33640,138972,1,Cash loans,M,Y,Y,0,202500.0,284400.0,10849.5,225000.0,Working,Secondary / secondary special,Separated,House / apartment,0.011657,-20412,-3084,1,1,Drivers,1.0,Transport: type 3,1.0,-1572.0,0.0,0.0,0.0,0.0
9202,110702,0,Cash loans,M,N,Y,0,135000.0,808650.0,26217.0,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-14196,-6433,1,1,Laborers,2.0,Business Entity Type 3,0.0,-22.0,0.0,0.0,0.0,0.0
19713,122985,0,Cash loans,F,Y,N,3,225000.0,694773.0,30735.0,621000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.009334,-13767,-3054,1,1,Unknown,5.0,Business Entity Type 3,0.0,-1931.0,0.0,0.0,0.0,3.0
46379,153722,0,Cash loans,M,Y,Y,0,112500.0,127350.0,7308.0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,0.015221,-13091,-5607,1,1,Core staff,1.0,Government,0.0,-407.0,0.0,0.0,0.0,0.0
28857,133532,0,Cash loans,F,N,Y,0,112500.0,454500.0,21865.5,454500.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-17231,-1628,1,1,Accountants,2.0,Construction,0.0,-1297.0,0.0,0.0,2.0,5.0
10640,112397,0,Cash loans,F,N,Y,0,135000.0,943425.0,27715.5,787500.0,Commercial associate,Higher education,Married,House / apartment,0.00702,-17115,-3181,1,1,Managers,2.0,Self-employed,0.0,-2971.0,0.0,0.0,0.0,5.0
9875,111492,0,Cash loans,F,N,Y,1,67500.0,508495.5,24592.5,454500.0,Working,Secondary / secondary special,Married,House / apartment,0.019101,-16646,-124,1,1,Sales staff,3.0,Agriculture,0.0,-28.0,0.0,0.0,0.0,1.0
18720,121827,0,Cash loans,F,Y,N,0,225000.0,1800000.0,62568.0,1800000.0,Working,Secondary / secondary special,Married,House / apartment,0.018634,-14667,-798,1,1,Managers,2.0,Trade: type 7,0.0,-2102.0,0.0,0.0,0.0,2.0
